ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category
B0FDQVW4YD,SRA-0011,502188,1635,37870.53,45332.98,103,107,83.54,1.2,0.33,6.3,23.16,6,LOSER - CUT BIDS
B0FDL28RZX,SRA-0002,59627,100,2069.43,419.49,1,1,493.32,0.2,0.17,1.0,20.69,4,LOSER - CUT BIDS
B0FDL3VPCL,SRA-0003,23311,85,1580.31,677.12,1,1,233.39,0.43,0.36,1.18,18.59,5,LOSER - CUT BIDS
B0FDQZDJF1,SRA-0014,5509,40,1285.78,0.0,0,0,,0.0,0.73,0.0,32.14,5,LOSER - PAUSE
B0FDL33HLT,SRA-0004,19942,67,1229.6,1014.42,3,3,121.21,0.83,0.34,4.48,18.35,4,LOSER - CUT BIDS
B0FDQPNSTL,SRA-0009,6185,31,908.94,0.0,0,0,,0.0,0.5,0.0,29.32,5,LOSER - PAUSE
B0FDQK3KN9,SRA-0005,29803,38,859.91,2097.46,5,5,41.0,2.44,0.13,13.16,22.63,5,MONITOR
B0FDR1RNPJ,SRA-0013,16326,48,844.9,419.49,1,1,201.41,0.5,0.29,2.08,17.6,3,LOSER - CUT BIDS
B0FDQTVSJ6,SRA-0010,4773,30,606.4,0.0,0,0,,0.0,0.63,0.0,20.21,5,LOSER - PAUSE
B0FDR1Z162,SRA-0012,15124,31,540.48,419.49,1,1,128.84,0.78,0.2,3.23,17.43,4,LOSER - CUT BIDS
B0FDQPLGWM,SRA-0007,12376,22,434.24,419.49,1,1,103.52,0.97,0.18,4.55,19.74,5,LOSER - CUT BIDS
B0FDL2SCRM,SRA-0001,2509,25,377.67,1677.96,4,4,22.51,4.44,1.0,16.0,15.11,3,WINNER
B0FDQJTFP2,SRA-0006,3047,20,371.41,1232.2,2,2,30.14,3.32,0.66,10.0,18.57,6,MONITOR
B0FDQMJGMR,SRA-0008,877,4,76.69,0.0,0,0,,0.0,0.46,0.0,19.17,5,MONITOR
